docname,topic,proportion
shorten_answers_tokenized.txt:4322,000,1.0
shorten_answers_tokenized.txt:4357,018,1.0
shorten_answers_tokenized.txt:4392,009,1.0
shorten_answers_tokenized.txt:4427,001,1.0
shorten_answers_tokenized.txt:4462,000,1.0
shorten_answers_tokenized.txt:4497,017,1.0
shorten_answers_tokenized.txt:4532,010,1.0
shorten_answers_tokenized.txt:4567,009,1.0
shorten_answers_tokenized.txt:4602,002,1.0
shorten_answers_tokenized.txt:4637,002,1.0
shorten_answers_tokenized.txt:4672,017,1.0
shorten_answers_tokenized.txt:4707,007,1.0
shorten_answers_tokenized.txt:4742,000,1.0
shorten_answers_tokenized.txt:4777,001,1.0
shorten_answers_tokenized.txt:4812,006,1.0
shorten_answers_tokenized.txt:4847,000,0.465504
shorten_answers_tokenized.txt:4847,001,0.382341
shorten_answers_tokenized.txt:4847,002,0.152154
shorten_answers_tokenized.txt:4882,005,1.0
shorten_answers_tokenized.txt:4917,000,1.0
shorten_answers_tokenized.txt:4952,000,0.465504
shorten_answers_tokenized.txt:4952,001,0.382341
shorten_answers_tokenized.txt:4952,002,0.152154
shorten_answers_tokenized.txt:4987,000,1.0
shorten_answers_tokenized.txt:5022,000,1.0
shorten_answers_tokenized.txt:5057,001,1.0
shorten_answers_tokenized.txt:5092,006,1.0
shorten_answers_tokenized.txt:5127,001,1.0
shorten_answers_tokenized.txt:5162,006,1.0
shorten_answers_tokenized.txt:5197,009,1.0
shorten_answers_tokenized.txt:5232,024,1.0
shorten_answers_tokenized.txt:5267,004,1.0
shorten_answers_tokenized.txt:5302,000,1.0
shorten_answers_tokenized.txt:5337,028,1.0
shorten_answers_tokenized.txt:5372,017,1.0
shorten_answers_tokenized.txt:5407,002,1.0
shorten_answers_tokenized.txt:5442,000,1.0
shorten_answers_tokenized.txt:5477,001,1.0
shorten_answers_tokenized.txt:5512,020,1.0
shorten_answers_tokenized.txt:5547,000,1.0
shorten_answers_tokenized.txt:5582,002,1.0
shorten_answers_tokenized.txt:5617,002,1.0
shorten_answers_tokenized.txt:5652,000,1.0
shorten_answers_tokenized.txt:5687,002,1.0
shorten_answers_tokenized.txt:5722,006,1.0
shorten_answers_tokenized.txt:5757,001,1.0
shorten_answers_tokenized.txt:5792,017,1.0
shorten_answers_tokenized.txt:5827,010,1.0
shorten_answers_tokenized.txt:5862,006,1.0
shorten_answers_tokenized.txt:5897,017,1.0
shorten_answers_tokenized.txt:5932,015,1.0
shorten_answers_tokenized.txt:5967,014,1.0
shorten_answers_tokenized.txt:6002,015,1.0
shorten_answers_tokenized.txt:6037,000,1.0
shorten_answers_tokenized.txt:6072,010,1.0
shorten_answers_tokenized.txt:6107,000,0.465504
shorten_answers_tokenized.txt:6107,001,0.382341
shorten_answers_tokenized.txt:6107,002,0.152154
shorten_answers_tokenized.txt:6142,004,1.0
shorten_answers_tokenized.txt:6177,017,1.0
shorten_answers_tokenized.txt:6212,001,1.0
shorten_answers_tokenized.txt:6247,017,1.0
shorten_answers_tokenized.txt:6282,017,1.0
shorten_answers_tokenized.txt:6317,003,1.0
shorten_answers_tokenized.txt:6352,001,1.0
shorten_answers_tokenized.txt:6387,000,1.0
shorten_answers_tokenized.txt:6422,000,1.0
shorten_answers_tokenized.txt:6457,005,1.0
shorten_answers_tokenized.txt:6492,004,1.0
shorten_answers_tokenized.txt:6527,001,1.0
shorten_answers_tokenized.txt:6562,004,1.0
shorten_answers_tokenized.txt:6597,024,1.0
shorten_answers_tokenized.txt:6632,001,1.0
shorten_answers_tokenized.txt:6667,001,1.0
shorten_answers_tokenized.txt:6702,000,1.0
shorten_answers_tokenized.txt:6737,006,1.0
shorten_answers_tokenized.txt:6772,017,1.0
shorten_answers_tokenized.txt:6811,008,1.0
shorten_answers_tokenized.txt:6846,002,1.0
shorten_answers_tokenized.txt:6881,002,1.0
shorten_answers_tokenized.txt:6916,001,1.0
shorten_answers_tokenized.txt:6951,018,1.0
shorten_answers_tokenized.txt:6986,001,1.0
shorten_answers_tokenized.txt:7021,000,1.0
shorten_answers_tokenized.txt:7056,001,1.0
shorten_answers_tokenized.txt:7091,017,1.0
shorten_answers_tokenized.txt:7126,017,1.0
shorten_answers_tokenized.txt:7161,008,1.0
shorten_answers_tokenized.txt:7196,017,1.0
shorten_answers_tokenized.txt:7231,024,1.0
shorten_answers_tokenized.txt:7266,007,1.0
shorten_answers_tokenized.txt:7301,017,1.0
shorten_answers_tokenized.txt:7336,008,1.0
shorten_answers_tokenized.txt:7371,000,1.0
shorten_answers_tokenized.txt:7406,000,1.0
shorten_answers_tokenized.txt:7441,004,1.0
shorten_answers_tokenized.txt:7476,002,1.0
shorten_answers_tokenized.txt:7511,001,1.0
shorten_answers_tokenized.txt:7546,006,1.0
shorten_answers_tokenized.txt:7581,004,1.0
shorten_answers_tokenized.txt:7616,005,1.0
shorten_answers_tokenized.txt:7651,006,1.0
shorten_answers_tokenized.txt:7686,003,1.0
shorten_answers_tokenized.txt:7721,003,1.0
shorten_answers_tokenized.txt:7756,019,1.0
shorten_answers_tokenized.txt:7791,017,1.0
shorten_answers_tokenized.txt:7826,006,1.0
shorten_answers_tokenized.txt:7861,005,1.0
shorten_answers_tokenized.txt:7896,000,1.0
shorten_answers_tokenized.txt:7931,011,1.0
shorten_answers_tokenized.txt:7966,015,1.0
shorten_answers_tokenized.txt:8001,015,1.0
shorten_answers_tokenized.txt:8036,001,1.0
shorten_answers_tokenized.txt:8071,001,1.0
shorten_answers_tokenized.txt:8106,000,1.0
shorten_answers_tokenized.txt:8141,003,1.0
shorten_answers_tokenized.txt:8176,019,1.0
shorten_answers_tokenized.txt:8211,003,1.0
shorten_answers_tokenized.txt:8246,000,1.0
shorten_answers_tokenized.txt:8281,007,1.0
shorten_answers_tokenized.txt:8316,015,1.0
shorten_answers_tokenized.txt:8351,017,1.0
shorten_answers_tokenized.txt:8386,000,1.0
shorten_answers_tokenized.txt:8421,002,1.0
shorten_answers_tokenized.txt:8456,003,1.0
shorten_answers_tokenized.txt:8491,004,1.0
shorten_answers_tokenized.txt:8526,024,1.0
shorten_answers_tokenized.txt:8561,017,1.0
shorten_answers_tokenized.txt:8596,015,1.0
shorten_answers_tokenized.txt:8631,001,1.0
shorten_answers_tokenized.txt:8666,002,1.0
shorten_answers_tokenized.txt:8701,001,1.0
shorten_answers_tokenized.txt:8736,000,1.0
shorten_answers_tokenized.txt:8771,002,1.0
shorten_answers_tokenized.txt:8806,008,1.0
shorten_answers_tokenized.txt:8841,002,1.0
shorten_answers_tokenized.txt:8876,001,1.0
shorten_answers_tokenized.txt:8911,004,1.0
shorten_answers_tokenized.txt:8946,000,1.0
shorten_answers_tokenized.txt:8981,017,1.0
shorten_answers_tokenized.txt:9016,014,1.0
shorten_answers_tokenized.txt:9051,003,1.0
shorten_answers_tokenized.txt:9086,017,1.0
shorten_answers_tokenized.txt:9121,017,1.0
shorten_answers_tokenized.txt:9156,001,1.0
shorten_answers_tokenized.txt:9191,016,1.0
shorten_answers_tokenized.txt:9226,000,1.0
shorten_answers_tokenized.txt:9261,015,1.0
shorten_answers_tokenized.txt:9296,003,1.0
shorten_answers_tokenized.txt:9331,002,1.0
shorten_answers_tokenized.txt:9366,015,1.0
shorten_answers_tokenized.txt:9401,001,1.0
shorten_answers_tokenized.txt:9436,002,1.0
shorten_answers_tokenized.txt:9471,005,1.0
shorten_answers_tokenized.txt:9506,000,1.0
shorten_answers_tokenized.txt:9541,005,1.0
shorten_answers_tokenized.txt:9576,000,1.0
shorten_answers_tokenized.txt:9611,014,1.0
shorten_answers_tokenized.txt:9646,005,1.0
shorten_answers_tokenized.txt:9681,018,1.0
shorten_answers_tokenized.txt:9716,003,1.0
shorten_answers_tokenized.txt:9751,002,1.0
shorten_answers_tokenized.txt:9786,015,1.0
shorten_answers_tokenized.txt:9821,024,1.0
shorten_answers_tokenized.txt:9856,003,1.0
shorten_answers_tokenized.txt:9891,003,1.0
shorten_answers_tokenized.txt:9926,001,1.0
shorten_answers_tokenized.txt:9961,001,1.0
shorten_answers_tokenized.txt:9996,001,1.0
shorten_answers_tokenized.txt:10031,010,1.0
shorten_answers_tokenized.txt:10066,007,1.0
shorten_answers_tokenized.txt:10101,000,1.0
shorten_answers_tokenized.txt:10136,002,1.0
shorten_answers_tokenized.txt:10171,003,1.0
shorten_answers_tokenized.txt:10206,001,1.0
shorten_answers_tokenized.txt:10241,000,1.0
shorten_answers_tokenized.txt:10276,029,1.0
shorten_answers_tokenized.txt:10311,001,1.0
shorten_answers_tokenized.txt:10346,001,1.0
shorten_answers_tokenized.txt:10381,006,1.0
shorten_answers_tokenized.txt:10416,024,1.0
shorten_answers_tokenized.txt:10451,003,1.0
shorten_answers_tokenized.txt:10486,013,1.0
shorten_answers_tokenized.txt:10521,000,1.0
shorten_answers_tokenized.txt:10556,007,1.0
shorten_answers_tokenized.txt:10591,000,1.0
