docname,topic,proportion
pm_highTemp.txt:369,002,1.0
pm_highTemp.txt:404,013,1.0
pm_highTemp.txt:439,007,1.0
pm_highTemp.txt:474,001,1.0
pm_highTemp.txt:509,003,1.0
pm_highTemp.txt:544,000,1.0
pm_highTemp.txt:579,013,1.0
pm_highTemp.txt:614,009,1.0
pm_highTemp.txt:649,001,1.0
pm_highTemp.txt:684,000,0.513105
pm_highTemp.txt:684,001,0.486895
pm_highTemp.txt:719,000,1.0
pm_highTemp.txt:754,005,1.0
pm_highTemp.txt:789,010,1.0
pm_highTemp.txt:824,000,1.0
pm_highTemp.txt:859,000,1.0
pm_highTemp.txt:894,011,1.0
pm_highTemp.txt:929,000,1.0
pm_highTemp.txt:964,000,1.0
pm_highTemp.txt:999,014,1.0
pm_highTemp.txt:1034,007,1.0
pm_highTemp.txt:1069,000,1.0
pm_highTemp.txt:1104,000,0.513105
pm_highTemp.txt:1104,001,0.486895
pm_highTemp.txt:1139,006,1.0
pm_highTemp.txt:1174,008,1.0
pm_highTemp.txt:1209,000,1.0
pm_highTemp.txt:1244,023,1.0
pm_highTemp.txt:1279,005,1.0
pm_highTemp.txt:1314,000,1.0
pm_highTemp.txt:1349,010,1.0
pm_highTemp.txt:1384,000,1.0
pm_highTemp.txt:1419,007,1.0
pm_highTemp.txt:1454,002,1.0
pm_highTemp.txt:1489,005,1.0
pm_highTemp.txt:1524,005,1.0
pm_highTemp.txt:1559,008,1.0
pm_highTemp.txt:1594,003,1.0
pm_highTemp.txt:1629,000,1.0
pm_highTemp.txt:1664,000,1.0
pm_highTemp.txt:1699,001,1.0
pm_highTemp.txt:1734,000,1.0
pm_highTemp.txt:1769,013,1.0
pm_highTemp.txt:1804,003,1.0
pm_highTemp.txt:1839,000,1.0
pm_highTemp.txt:1874,021,1.0
pm_highTemp.txt:1909,021,1.0
pm_highTemp.txt:1944,001,1.0
pm_highTemp.txt:1979,012,1.0
pm_highTemp.txt:2014,002,1.0
pm_highTemp.txt:2049,008,1.0
pm_highTemp.txt:2084,001,1.0
pm_highTemp.txt:2119,008,1.0
pm_highTemp.txt:2154,002,1.0
pm_highTemp.txt:2189,006,1.0
pm_highTemp.txt:2224,013,1.0
pm_highTemp.txt:2259,001,1.0
pm_highTemp.txt:2294,013,1.0
pm_highTemp.txt:2329,017,1.0
pm_highTemp.txt:2364,005,1.0
pm_highTemp.txt:2399,006,1.0
pm_highTemp.txt:2434,017,1.0
pm_highTemp.txt:2469,005,1.0
pm_highTemp.txt:2504,005,1.0
pm_highTemp.txt:2539,001,1.0
pm_highTemp.txt:2604,002,1.0
pm_highTemp.txt:2639,003,1.0
pm_highTemp.txt:2674,000,1.0
pm_highTemp.txt:2709,005,1.0
pm_highTemp.txt:2744,000,1.0
pm_highTemp.txt:2779,003,1.0
pm_highTemp.txt:2814,001,1.0
pm_highTemp.txt:2849,001,1.0
pm_highTemp.txt:2884,001,1.0
pm_highTemp.txt:2919,001,1.0
pm_highTemp.txt:2954,000,1.0
pm_highTemp.txt:2989,007,1.0
pm_highTemp.txt:3024,015,1.0
pm_highTemp.txt:3059,001,1.0
pm_highTemp.txt:3094,005,1.0
pm_highTemp.txt:3129,005,1.0
pm_highTemp.txt:3164,005,1.0
pm_highTemp.txt:3199,005,1.0
pm_highTemp.txt:3234,000,1.0
pm_highTemp.txt:3269,003,1.0
pm_highTemp.txt:3304,005,1.0
pm_highTemp.txt:3339,001,1.0
pm_highTemp.txt:3374,000,0.513105
pm_highTemp.txt:3374,001,0.486895
pm_highTemp.txt:3409,001,1.0
pm_highTemp.txt:3444,005,1.0
pm_highTemp.txt:3479,005,1.0
pm_highTemp.txt:3514,013,1.0
pm_highTemp.txt:3549,013,1.0
pm_highTemp.txt:3584,001,1.0
pm_highTemp.txt:3619,005,1.0
pm_highTemp.txt:3654,003,1.0
pm_highTemp.txt:3689,006,1.0
pm_highTemp.txt:3724,000,1.0
pm_highTemp.txt:3759,005,1.0
pm_highTemp.txt:3794,005,1.0
pm_highTemp.txt:3829,010,1.0
pm_highTemp.txt:3864,005,1.0
pm_highTemp.txt:3899,000,1.0
pm_highTemp.txt:3934,005,1.0
pm_highTemp.txt:3969,008,1.0
pm_highTemp.txt:4004,016,1.0
pm_highTemp.txt:4039,005,1.0
pm_highTemp.txt:4074,004,1.0
pm_highTemp.txt:4109,013,1.0
pm_highTemp.txt:4144,001,1.0
pm_highTemp.txt:4179,015,1.0
pm_highTemp.txt:4214,005,1.0
pm_highTemp.txt:4249,014,1.0
pm_highTemp.txt:4284,000,1.0
pm_highTemp.txt:4319,000,1.0
pm_highTemp.txt:4354,007,1.0
pm_highTemp.txt:4389,014,1.0
pm_highTemp.txt:4424,004,1.0
pm_highTemp.txt:4459,001,1.0
pm_highTemp.txt:4494,001,1.0
pm_highTemp.txt:4529,000,1.0
pm_highTemp.txt:4564,004,1.0
pm_highTemp.txt:4599,000,1.0
pm_highTemp.txt:4634,001,1.0
pm_highTemp.txt:4669,001,1.0
pm_highTemp.txt:4704,006,1.0
pm_highTemp.txt:4739,000,1.0
pm_highTemp.txt:4774,000,1.0
pm_highTemp.txt:4809,003,1.0
pm_highTemp.txt:4844,001,1.0
pm_highTemp.txt:4879,008,1.0
pm_highTemp.txt:4914,012,1.0
pm_highTemp.txt:4949,008,1.0
pm_highTemp.txt:4984,005,1.0
pm_highTemp.txt:5019,005,1.0
pm_highTemp.txt:5054,017,1.0
pm_highTemp.txt:3,001,1.0
pm_highTemp.txt:38,000,0.513105
pm_highTemp.txt:38,001,0.486895
pm_highTemp.txt:73,017,1.0
pm_highTemp.txt:108,005,1.0
pm_highTemp.txt:143,002,1.0
pm_highTemp.txt:178,001,1.0
pm_highTemp.txt:213,002,1.0
pm_highTemp.txt:248,013,1.0
pm_highTemp.txt:283,002,1.0
pm_highTemp.txt:318,008,1.0
pm_highTemp.txt:353,000,0.513105
pm_highTemp.txt:353,001,0.486895
pm_highTemp.txt:388,001,1.0
pm_highTemp.txt:423,008,1.0
pm_highTemp.txt:458,000,1.0
pm_highTemp.txt:493,005,1.0
pm_highTemp.txt:528,006,1.0
pm_highTemp.txt:563,008,1.0
pm_highTemp.txt:598,000,1.0
pm_highTemp.txt:633,005,1.0
pm_highTemp.txt:668,001,1.0
pm_highTemp.txt:703,005,1.0
pm_highTemp.txt:738,003,1.0
pm_highTemp.txt:773,002,1.0
pm_highTemp.txt:808,001,1.0
pm_highTemp.txt:843,020,1.0
pm_highTemp.txt:878,002,1.0
pm_highTemp.txt:913,000,1.0
pm_highTemp.txt:948,008,1.0
pm_highTemp.txt:983,008,1.0
pm_highTemp.txt:1018,001,1.0
pm_highTemp.txt:1053,003,1.0
pm_highTemp.txt:1088,003,1.0
pm_highTemp.txt:1123,005,1.0
pm_highTemp.txt:1158,011,1.0
pm_highTemp.txt:1193,005,1.0
pm_highTemp.txt:1228,008,1.0
pm_highTemp.txt:1263,013,1.0
pm_highTemp.txt:1298,001,1.0
pm_highTemp.txt:1333,001,1.0
pm_highTemp.txt:1368,016,1.0
pm_highTemp.txt:1403,000,1.0
pm_highTemp.txt:1438,003,1.0
pm_highTemp.txt:1473,000,1.0
pm_highTemp.txt:1508,003,1.0
pm_highTemp.txt:1543,000,1.0
pm_highTemp.txt:1578,013,1.0
pm_highTemp.txt:1613,001,1.0
pm_highTemp.txt:1648,001,1.0
pm_highTemp.txt:1683,003,1.0
pm_highTemp.txt:1718,005,1.0
pm_highTemp.txt:1753,000,1.0
pm_highTemp.txt:1788,017,1.0
pm_highTemp.txt:1823,000,1.0
pm_highTemp.txt:1858,000,1.0
pm_highTemp.txt:1893,007,1.0
pm_highTemp.txt:1928,005,1.0
pm_highTemp.txt:1963,003,1.0
pm_highTemp.txt:1998,013,1.0
pm_highTemp.txt:2033,001,1.0
pm_highTemp.txt:2068,007,1.0
pm_highTemp.txt:2103,010,1.0
